location_id,street_address,city,state,postal_code,restaurant
CJ-1,2242 Abbott Road,ANCHORAGE,AK,99507,CJ
CJ-2,650 W NORTHERN LIGHTS BLVD,Anchorage,AK,99503,CJ
CJ-3,12319 OLD GLENN HWY,EAGLE RIVER,AK,99577,CJ
CJ-4,1741 E. Palmer Wasilla Hwy,Wasilla,AK,99654,CJ
CJ-5,2933 S Tomahawk Rd,Apache Junction,AZ,85119,CJ
CJ-6,416 S Watson Rd,Buckeye,AZ,85326,CJ
CJ-7,2195 Highway 95,Bullhead City,AZ,86442,CJ
CJ-8,640 N. Hwy 95,Bullhead City,AZ,86429,CJ
CJ-9,1715 E Florence Blvd,Casa Grande,AZ,85122,CJ
CJ-10,2560 E Rio Mesa Trl,Cottonwood,AZ,86326,CJ
CJ-11,105 E 5TH ST,Douglas,AZ,85607,CJ
CJ-12,3090 N Toltec Rd,Eloy,AZ,85131,CJ
CJ-13,826 W Pima St,Gila Bend,AZ,85337,CJ
CJ-14,85 E Germann Rd,Gilbert,AZ,85297,CJ
CJ-15,5378 S Power Rd,Gilbert,AZ,85295,CJ
CJ-16,5105 W Thunderbird Rd,Glendale,AZ,85306,CJ
CJ-17,5775 W Northern Ave,Glendale,AZ,85301,CJ
CJ-18,6706 N 95Th Ave,Glendale,AZ,85305,CJ
CJ-19,1083 S Cotton Ln,Goodyear,AZ,85338,CJ
CJ-20,1519 W Baseline Rd,Guadalupe,AZ,85283,CJ
CJ-21,1635 N Navajo Blvd,Holbrook,AZ,86025,CJ
CJ-22,789 W Beale St,Kingman,AZ,86401,CJ
CJ-23,3440 Stockton Hill Rd,Kingman,AZ,86409,CJ
CJ-24,275 N Lake Havasu Avenue,Lake Havasu City,AZ,86403,CJ
CJ-25,14875 S Hwy 95,Lake Havasu City,AZ,86404,CJ
CJ-26,5040 W Baseline Rd,Laveen,AZ,85339,CJ
CJ-27,3790 W Ina Rd,Marana,AZ,85741,CJ
CJ-28,1850 S Country Club,Mesa,AZ,85210,CJ
CJ-29,4515 E Mckellips Rd,Mesa,AZ,85215,CJ
CJ-30,2002 N Country Club Dr,Mesa,AZ,85201,CJ
CJ-31,1015 N Dobson Rd,Mesa,AZ,85201,CJ
CJ-32,1352 S Gilbert Rd,Mesa,AZ,85204,CJ
CJ-33,1440 W Southern Ave,Mesa,AZ,85202,CJ
CJ-34,800 W Mariposa Rd,Nogales,AZ,85621,CJ
CJ-35,12110 N 75Th Ave,Peoria,AZ,85345,CJ
CJ-36,9360 W Northern Ave,Peoria,AZ,85345,CJ
CJ-37,1202 N 51St Ave,Phoenix,AZ,85043,CJ
CJ-38,3470 W Bell Rd,Phoenix,AZ,85053,CJ
CJ-39,4311 W Camelback Rd,Phoenix,AZ,85031,CJ
CJ-40,2501 W Happy Valley Rd,Phoenix,AZ,85085,CJ
CJ-41,2750 W Thomas Rd,Phoenix,AZ,85017,CJ
CJ-42,1753 W Bethany Home Rd,Phoenix,AZ,85015,CJ
CJ-43,2342 E Thomas Rd,Phoenix,AZ,85016,CJ
CJ-44,2343 E Bell Rd,Phoenix,AZ,85022,CJ
CJ-45,4916 E Chandler Blvd,Phoenix,AZ,85048,CJ
CJ-46,7610 W Thomas,Phoenix,AZ,85033,CJ
CJ-47,3050 E. STATE ROUTE 69,Prescott,AZ,86301,CJ
CJ-48,555 Miller Valley Rd,Prescott,AZ,86301,CJ
CJ-49,5785 E State Route 69,Prescott Valley,AZ,86314,CJ
CJ-50,1451 W  Main St,Quartzsite,AZ,85346,CJ
CJ-51,21064 E Ocotillo Rd,Queen Creek,AZ,85142,CJ
CJ-52,455 S 20TH AVE,Safford,AZ,85546,CJ
CJ-53,18700 S Nogales Hwy,Sahuarita,AZ,85614,CJ
CJ-54,1517 N Main St,San Luis,AZ,85349,CJ
CJ-55,5401 S. WHITE MOUNTAIN RD.,Show Low,AZ,85901,CJ
CJ-56,2080 E Fry Blvd,Sierra Vista,AZ,85635,CJ
CJ-57,13335 W GRAND AVE,Surprise,AZ,85374,CJ
CJ-58,1210 N Scottsdale Rd,Tempe,AZ,85281,CJ
CJ-59,8313 W Roosevelt St,Tolleson,AZ,85353,CJ
CJ-60,3289 E Valencia Rd,Tucson,AZ,85706,CJ
CJ-61,1691 W Valencia Rd,Tucson,AZ,85746,CJ
CJ-62,1880 E Broadway Blvd,Tucson,AZ,85719,CJ
CJ-63,6301 E Grant Rd,Tucson,AZ,85715,CJ
CJ-64,3707 N ORACLE RD,TUCSON,AZ,85705,CJ
CJ-65,8120 S Houghton Rd,Tucson,AZ,85747,CJ
CJ-66,7805 E Broadway,Tucson,AZ,85710,CJ
CJ-67,1070 E Ajo Way,Tucson,AZ,85713,CJ
CJ-68,615 W Congress St,Tucson,AZ,85745,CJ
CJ-69,19312 N Hwy 93,White Hills,AZ,86445,CJ
CJ-70,728 N Bisbee Ave,Willcox,AZ,85643,CJ
CJ-71,1055 N Grand Canyon Blvd,Williams,AZ,86046,CJ
CJ-72,704 Mike'S Peak Boulevard,Winslow,AZ,86047,CJ
CJ-73,388 W 32Nd St,Yuma,AZ,85364,CJ
CJ-74,1020 E. 16Th Street,Yuma,AZ,85365,CJ
CJ-75,Mcas Yuma Building 965,Yuma,AZ,85365,CJ
CJ-76,11274 S Fortuna Rd,Yuma,AZ,85367,CJ
CJ-77,5709 KANAN RD,Agoura,CA,91301,CJ
CJ-78,871 Marina Village Parkway,Alameda,CA,94501,CJ
CJ-79,2521 W Commonwealth Ave,Alhambra,CA,91803,CJ
CJ-80,23002 Aliso Creek Rd,Aliso Viejo,CA,92656,CJ
CJ-81,1263 TAVERN RD,ALPINE,CA,91901,CJ
CJ-82,9756 19TH ST,Alta Loma,CA,91737,CJ
CJ-83,3110 E La Palma,Anaheim,CA,92806,CJ
CJ-84,2119 S Harbor Blvd,Anaheim,CA,92802,CJ
CJ-85,794 N Brookhurst St,Anaheim,CA,92801,CJ
CJ-86,5701 E La Palma,Anaheim,CA,92807,CJ
CJ-87,1200 N Harbor Blvd,Anaheim,CA,92801,CJ
CJ-88,8225 Santa Ana Canyon Rd,Anaheim,CA,92808,CJ
CJ-89,275 S Harbor Blvd,Anaheim,CA,92805,CJ
CJ-90,2820 E Lincoln,Anaheim,CA,92806,CJ
CJ-91,1189 SO STATE COLLEGE BLVD,ANAHEIM,CA,92806,CJ
CJ-92,2025 E KATELLA AVE,Anaheim,CA,92806,CJ
CJ-93,1091 N TUSTIN AVE,ANAHEIM,CA,92807,CJ
CJ-94,20302 Us Highway 18,Apple Valley,CA,92307,CJ
CJ-95,12271 APPLE VALLEY RD,APPLE VALLEY,CA,92308,CJ
CJ-96,165 E Duarte Rd,Arcadia,CA,91006,CJ
CJ-97,4900 Valley West Blvd,Arcata,CA,95521,CJ
CJ-98,1590 W. Branch Street,Arroyo Grande,CA,93420,CJ
CJ-99,5631 Laval Rd,Arvin,CA,93203,CJ
CJ-100,7085 El Camino Real,Atascadero,CA,93422,CJ
CJ-101,1600 Bell Ln,Atwater,CA,95301,CJ
CJ-102,2300 GRASS VALLEY HIGHWAY,AUBURN,CA,95603,CJ
CJ-103,13312 LINCOLN WAY,AUBURN,CA,95603,CJ
CJ-104,1190 West Foothill Blvd,Azusa,CA,91702,CJ
CJ-105,56335 MOJAVE POINTE,BAKER,CA,92309,CJ
CJ-106,815 Real Road,Bakersfield,CA,93309,CJ
CJ-107,2412 Ming Ave,Bakersfield,CA,93304,CJ
CJ-108,2930 F Street,Bakersfield,CA,93301,CJ
CJ-109,4800 White Lane,Bakersfield,CA,93309,CJ
CJ-110,101 S Union Ave,Bakersfield,CA,93307,CJ
CJ-111,9000 Ming Ave,Bakersfield,CA,93311,CJ
CJ-112,3901 Auburn Avenue,Bakersfield,CA,93306,CJ
CJ-113,9500 Brimhall Rd,Bakersfield,CA,93312,CJ
CJ-114,4520 Coffee Road,Bakersfield,CA,93308,CJ
CJ-115,3501 Panama Ln,Bakersfield,CA,93313,CJ
CJ-116,5555 Gosford Rd,Bakersfield,CA,93309,CJ
CJ-117,3520 Rosedale Highway,Bakersfield,CA,93308,CJ
CJ-118,2400 White Lane,Bakersfield,CA,93304,CJ
CJ-119,14080 Francisquito,Baldwin Park,CA,91706,CJ
CJ-120,1888 W Ramsey,Banning,CA,92220,CJ
CJ-121,300 S Highland Springs Ave Bldg 4,Banning,CA,92220,CJ
CJ-122,1530 E MAIN STREET,Barstow,CA,92311,CJ
CJ-123,2856 LENWOOD ROAD,Barstow,CA,92311,CJ
CJ-124,4966 Florence Ave,Bell,CA,90201,CJ
CJ-125,10148 Rosecrans Ave,Bellflower,CA,90706,CJ
CJ-126,5990 E. 2nd Street,Benicia,CA,94510,CJ
CJ-127,40050 Washington,Bermuda Dunes,CA,92203,CJ
CJ-128,Po Box 1742 (41717 Big Bear Bl),Big Bear Lake,CA,92315,CJ
CJ-129,768 N Main St,Bishop,CA,93514,CJ
CJ-130,3610 S Riverside Ave,Bloomington,CA,92316,CJ
CJ-131,160 S Lovekin,Blythe,CA,92225,CJ
CJ-132,27201 Boron Frontage,Boron,CA,93516,CJ
CJ-133,115 Main St,Brawley,CA,92227,CJ
CJ-134,6291 Lone Tree Way,Brentwood,CA,94513,CJ
CJ-135,208 E. Highway 246,Buellton,CA,93427,CJ
CJ-136,6002 Beach Blvd,Buena Park,CA,90621,CJ
CJ-137,8991 KNOTT AVE,BUENA PARK,CA,90620,CJ
CJ-138,8361 LA PALMA,BUENA PARK,CA,90620,CJ
CJ-139,1320 N. San Fernando Road,Burbank,CA,91504,CJ
CJ-140,20640 TRACY AVE,BUTTONWILLOW,CA,93206,CJ
CJ-141,221 W Birch St,Calexico,CA,92231,CJ
CJ-142,1164 Calimesa Blvd,Calimesa,CA,92320,CJ
CJ-143,401 Las Posas Rd,Camarillo,CA,93010,CJ
CJ-144,4065 Cameron Park Dr,Cameron Park,CA,95682,CJ
CJ-145,20105 Saticoy,Canoga Park,CA,91306,CJ
