location_id,street_address,city,state,postal_code,restaurant
HD-1,650 Ozark Rd,Abbeville,AL,36310,HD
HD-2,9940 Hwy 119,Alabaster,AL,35007,HD
HD-3,11024 Us Highway 431,Albertville,AL,35950,HD
HD-4,1249 Cherokee Rd,Alexander City,AL,35010,HD
HD-5,1202 E Bypass,Andalusia,AL,36420,HD
HD-6,1110 S Jefferson St,Athens,AL,35611,HD
HD-7,25 Lakeview Cir,Atmore,AL,36502,HD
HD-8,970 Gilbert Ferry Rd Se,Attalla,AL,35954,HD
HD-9,800 Wire Rd,Auburn,AL,36832,HD
HD-10,701 Dolive St,Bay Minette,AL,36507,HD
HD-11,9400 Parkway East,Birmingham,AL,35215,HD
HD-12,1771 Us Highway 431,Boaz,AL,35957,HD
HD-13,50770 Old Hwy 72,Bridgeport,AL,35740,HD
HD-14,499 W Troy St,Brundidge,AL,36010,HD
HD-15,109 E Pushmataha St,Butler,AL,36904,HD
HD-16,8441 Hwy 31 S,Calera,AL,35040,HD
HD-17,35 Highway 41 N,Camden,AL,36726,HD
HD-18,19765 N 3Rd St,Citronelle,AL,36522,HD
HD-19,723 2Nd Ave Nw,Cullman,AL,35055,HD
HD-20,1535 County Rd 437,Cullman,AL,35055,HD
HD-21,1708 Beltline Rd,Decatur,AL,35601,HD
HD-22,3241 Point Mallard Pkwy Se,Decatur,AL,35603,HD
HD-23,810 6Th Ave Northeast,Decatur,AL,35601,HD
HD-24,1086 Ross Clark Cir,Dothan,AL,36303,HD
HD-25,2727 S Oates St,Dothan,AL,36301,HD
HD-26,4624 W. Main Street,Dothan,AL,36305,HD
HD-27,911 Fort Rucker Blvd,Enterprise,AL,36330,HD
HD-28,3194 S Eufaula Ave,Eufaula,AL,36027,HD
HD-29,7561 Mesopotamia St,Eutaw,AL,35462,HD
HD-30,845 Liberty Hill Dr,Evergreen,AL,36401,HD
HD-31,21514 Highway 31,Flomaton,AL,36441,HD
HD-32,1113 E 5Th Ave,Florala,AL,36442,HD
HD-33,2935 S Mckenzie St,Foley,AL,36535,HD
HD-34,1616 Decatur Hwy,Fultondale,AL,35068,HD
HD-35,1301 Maple Ave,Geneva,AL,36340,HD
HD-36,9400 Grand Bay Wilmer Rd,Grand Bay,AL,36541,HD
HD-37,3541 CATHEDRAL CAVERNS HWY,GRANT,AL,35747,HD
HD-38,912 Fortdale Rd,Greenville,AL,36037,HD
HD-39,837 Gulf Shores Pkwy,Gulf Shores,AL,36542,HD
HD-40,5975 HIGHWAY 72 E,GURLEY,AL,35748,HD
HD-41,261 Bexar Ave E,Hamilton,AL,35570,HD
HD-42,110 S State Highway 167,Hartford,AL,36344,HD
HD-43,680 Highway 31 Sw,Hartselle,AL,35640,HD
HD-44,16832 Us Hwy 431 South,Headland,AL,36345,HD
HD-45,228 OXMOOR BLVD,HOMEWOOD,AL,35209,HD
HD-46,2162 Valleydale Rd,Hoover,AL,35244,HD
HD-47,79 Folmar Pkwy,Hope Hull,AL,36043,HD
HD-48,917 ALLISON-BONNETT MEMORIAL DR,HUEYTOWN,AL,35023,HD
HD-49,2015 Drake Ave,Huntsville,AL,35801,HD
HD-50,300 Andrew Jackson Way,Huntsville,AL,35801,HD
HD-51,104 Green Cove Rd Se,Huntsville,AL,35803,HD
HD-52,3751 Al Highway 53,Huntsville,AL,35806,HD
HD-53,2800 College Ave,Jackson,AL,36545,HD
HD-54,303 Highway 78 W,Jasper,AL,35501,HD
HD-55,13151 N Hickory St,Loxley,AL,36551,HD
HD-56,742 S Forest Ave,Luverne,AL,36049,HD
HD-57,8827 Madison Blvd,Madison,AL,35758,HD
HD-58,5870 Wall Triana Hwy,Madison,AL,35758,HD
HD-59,11909 Highway 231 431 N,Meridianville,AL,35759,HD
HD-60,611 Bessemer Super Hwy,Midfield,AL,35228,HD
HD-61,3691 Highway 14,Millbrook,AL,36054,HD
HD-62,3715 Moffat Rd,Mobile,AL,36618,HD
HD-63,565 Government St,Mobile,AL,36602,HD
HD-64,930 Schillinger Rd S,Mobile,AL,36695,HD
HD-65,3225 St Stephens Rd,Mobile,AL,36612,HD
HD-66,1608 S Alabama Rd,Monroeville,AL,36460,HD
HD-67,5401 Atlanta Hwy,Montgomery,AL,36109,HD
HD-68,1183 W South Blvd,Montgomery,AL,36105,HD
HD-69,906 Ann St,Montgomery,AL,36107,HD
HD-70,2715 Taylor Rd,Montgomery,AL,36117,HD
HD-71,11838 Al  Hwy 157,Moulton,AL,35650,HD
HD-72,10139 Highway 431 S,New Hope,AL,35760,HD
HD-73,2530 Pepperell Pkwy,Opelika,AL,36801,HD
HD-74,1902 Marvyn Pkwy,Opelika,AL,36804,HD
HD-75,803 Florala Hwy,Opp,AL,36467,HD
HD-76,2515 Mountain Cove Dr,Owens Cross Roads,AL,35763,HD
HD-77,1333 Andrews Ave,Ozark,AL,36360,HD
HD-78,1300 280 Byp,Phenix City,AL,36867,HD
HD-79,706 East Main Street,Prattvile,AL,36067,HD
HD-80,2525 Cobbs Ford Rd,Prattville,AL,36066,HD
